normalization,normalization_label,level,metric,point_estimate,ci_low,ci_high,source
MACENKO,Macenko,micro,dice,0.8127869205799674,0.7620604751911748,0.8618648110415064,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,iou,0.6846175591133339,0.6155878053168311,0.7572604901474791,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,tpr,0.7483539401515424,0.66869007913997,0.8336957788600928,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,tnr,0.9785870088982732,0.9654823972426407,0.9872269167979788,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,precision,0.8893605114338149,0.8140666161627483,0.9407471765285574,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,accuracy,0.9355344801351203,0.8964701009121935,0.9636810066203378,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,fpr,0.021412991101726786,0.012773083202021243,0.03451760275735928,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,micro,fnr,0.2516460598484575,0.16630422113990725,0.3313099208600299,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,dice,0.4324856422675506,0.33808129302360107,0.5292416310597163,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,iou,0.3850328021529379,0.29838554300853837,0.4749567671619632,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,tpr,0.7496965940571958,0.6825722855024411,0.8081340360449076,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,tnr,0.9542633096483946,0.9334113382792291,0.9722430782287613,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,precision,0.4324482403550085,0.3286384956552985,0.5397815720564213,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,accuracy,0.9120262267509128,0.8837962363606353,0.9370188602991442,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,fpr,0.04573669035160545,0.027756921771238632,0.06658866172077105,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,macro,fnr,0.2503034059428042,0.19186596395509234,0.3174277144975588,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,rule6,dice_pos_only,0.7675359405035919,0.6849115962098186,0.8375333447225144,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,rule6,neg_clean_rate,0.12195121951219512,0.027009246088193474,0.23255813953488372,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
MACENKO,Macenko,auc,auc,0.960333630493625,,,ENSEMBLE_METRICS_12_05_2026_13_13_22.json
VAHADANE,Vahadane,micro,dice,0.7553668481490939,0.669928203678499,0.8214740185676467,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,micro,iou,0.6068991871426377,0.5036782267388781,0.6970351368711799,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,micro,tpr,0.8018955961270263,0.6861760911389706,0.9032196477476689,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
